"song","artist","rank","weeks_on_board"
"'03 Bonnie & Clyde","Jay-Z Featuring Beyonce Knowles",1944,23
"'65 Love Affair","Paul Davis",1300,20
"'98 Thug Paradise","Tragedy, Capone, Infinite",50,5
"'Round We Go","Big Sister",11,2
"'Til","The Angels",724,14
"'til I Can Make It On My Own","Tammy Wynette",43,5
"'til It's Time To Say Goodbye","Jonathan Cain",351,9
"'Til My Baby Comes Home","Luther Vandross",721,16
"'Til Summer Comes Around","Keith Urban",419,16
"'Til You Can't","Cody Johnson",68,3
"'Til You Do Me Right","After 7",1292,22
"'Tis The Damn Season","Taylor Swift",72,2
"-twistin'-White Silver Sands","Bill Black's Combo",14,2
"""B"" Girls","Young And Restless",450,15
"""Cherry Cherry"" from Hot August Night","Neil Diamond",531,10
"""Having A Party"" Medley","The Ovations (Featuring Louis Williams)",225,9
"""Joy"" Pt. I","Isaac Hayes",529,9
"""Roots"" Medley","Quincy Jones",213,7
"""Yep!""","Duane Eddy His Twangy Guitar And The Rebels",402,9
"#1","Nelly",1218,20
"#1 Dee Jay","Goody Goody",53,5
"#9 Dream","John Lennon",845,12
"#Beautiful","Mariah Carey Featuring Miguel",1027,16
"#SELFIE","The Chainsmokers",643,11
"#thatPOWER","will.i.am Featuring Justin Bieber",927,16
"$ave Dat Money","Lil Dicky Featuring Fetty Wap & Rich Homie Quan",298,19
"('til) I Kissed You","The Everly Brothers",1288,16
"(1-2-3-4-5-6-7) Count The Days","Inez & Charlie Foxx",65,5
"(A Ship Will Come) Ein Schiff Wird Kommen","Lale Anderson",31,4
"(All I Have To Do Is) Dream","The Nitty Gritty Dirt Band",151,6
"(All of a Sudden) My Heart Sings","Paul Anka",1138,17
"(All Of A Sudden) My Heart Sings","Mel Carter",345,7
"(Any Way That You Want It) I'll Be There","Starz",78,4
"(Baby Tell Me) Can You Dance","Shanice Wilson",453,13
"(Baby) Hully Gully","The Olympics",101,7
"(Baby) Turn On To Me","The Impressions",265,8
"(Believed You Were) Lucky","'Til Tuesday",15,3
"(Between A) Rock And A Hard Place","Cutting Crew",90,5
"(Bringing Out) The Girl In Me","Maxine Nightingale",114,5
"(Call Me Your) Anything Man","Bobby Moore",4,2
"(Call Me) When The Spirit Moves You","Touch",103,5
"(Can't Live Without Your) Love And Affection","Nelson",1598,26
"(Closest Thing To) Perfect","Jermaine Jackson",146,7
"(Come 'round Here) I'm The One You Need","The Miracles",536,9
"(Come On) Shout","Alex Brown",83,6
"(Dance The) Mess Around","Chubby Checker",405,7
"(Dance With The) Guitar Man","Duane Eddy and the Rebelettes",996,16
"(Do The New) Continental","The Dovells",405,10
"(Do The) Mashed Potatoes (Part 1)","Nat Kendrick And The Swans",26,2
"(Do The) Push And Pull Part I","Rufus Thomas",714,13
"(Do You) Wanna Ride","Reel Tight",21,1
"(Doin' The) Lovers Leap","Webb Pierce",13,2
"(Don't Fear) The Reaper","Blue Oyster Cult",1270,20
"(Don't Worry) If There's A Hell Below We're All Going To Go","Curtis Mayfield",586,12
"(Down At) Papa Joe's","The Dixiebelles",815,13
"(Every Time I Turn Around) Back In Love Again","LTD",1330,19
"(everybody Wanna Get Rich) Rite Away","Dr. John",25,4
"(Everything I Do) I Do It For You","Bryan Adams",1738,22
"(For God's Sake) Give More Power To The People","The Chi-lites",627,11
"(Forever) Live And Die","Orchestral Manoeuvres In The Dark",855,17
"(Ghost) Riders In The Sky","Outlaws",645,15
"(Ghost) Riders In The Sky","Ramrods",346,9
"(Girls, Girls, Girls) Made To Love","Eddie Hodges",754,11
"(God Must Have Spent) A Little More Time On You","'N Sync",1581,22
"(He's My) Dreamboat","Connie Francis",601,9
"(He's) Raining In My Sunshine","Jay & The Americans",37,4
"(He's) The Great Impostor","The Fleetwoods",390,8
"(Here They Come) From All Over The World","Jan & Dean",158,5
"(Hey Won't You Play) Another Somebody Done Somebody Wrong Song","B.J. Thomas",1302,18
"(Hot S**t) Country Grammar","Nelly",2384,34
"(How Bout A Little Hand For) The Boys In The Band","The Boys In The Band",395,10
"(How Can I Write On Paper) What I Feel In My Heart","Jim Reeves",15,2
"(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P","Cheech & Chong",169,5
"(How To Be A) Millionaire","ABC",801,14
"(I'd Know You) Anywhere","Ashford & Simpson",30,3
"(I'll Be With You In) Apple Blossom Time","Tab Hunter",573,11
"(I'm A) Road Runner","Jr. Walker & The All Stars",610,12
"(I'm A) YoYo Man","Rick Cunha",195,7
"(I'm Going By) The Stars In Your Eyes","Ron Banks And The Dramatics",49,3
"(I'm Just A) Fool For You","Gene Chandler",20,2
"(I'm Not Your) Steppin' Stone","The Monkees",503,8
"(I'm So) Afraid Of Losing You Again","Charley Pride",91,6
"(I'm Watching) Every Little Move You Make","Little Peggy March",39,3
"(i've Been) Searchin' So Long","Chicago",1070,15
"(I've Got) Bonnie","Bobby Rydell",676,11
"(I've Got) Spring Fever","Little Willie John",116,5
"(I've Had) The Time Of My Life","Bill Medley & Jennifer Warnes",1492,21
"(I've Had) The Time Of My Life","Glee Cast",63,1
"(I Believe) There's Nothing Stronger Than Our Love","Paul Anka/Odia Coates",868,13
"(I Can't Get No) Satisfaction","The Rolling Stones",1213,14
"(I Can't Help You) I'm Falling Too","Skeeter Davis",338,7
"(I Can Feel Those Vibrations) This Love Is Real","Jackie Wilson",305,11
"(I Can Feel Your Love) Slipping Away","Barbara Mason",4,1
"(I Could Only) Whisper Your Name","Harry Connick, Jr.",478,20
"(I Cried at) Laura's Wedding","Barbara Lynn",165,8
"(I Do The) Shimmy Shimmy","Bobby Freeman",602,13
"(I Don't Care) Only Love Me","Steve Lawrence",85,4
"(I Don't Want To Love You But) You Got Me Anyway","Sutherland Brothers And Quiver",429,12
"(I Hate) Everything About You","Three Days Grace",693,20
"(I Just) Died In Your Arms","Cutting Crew",1331,19
"(I Know I Got) Skillz","Shaquille O'Neal",960,20
"(I Know) I'm Losing You","Rare Earth",1025,14
"(I Know) I'm Losing You","Rod Stewart With Faces",572,9
"(I Know) I'm Losing You","The Temptations",737,10
"(I Know) I'm Losing You","Uptown",140,11
"(I Love You) Don't You Forget It","Perry Como",370,9
"(I Never Promised You A) Rose Garden","Martina McBride",4,2
"(I Remember) Summer Morning","Vanity Fare",6,2
"(I Wanna) Dance With The Teacher","The Olympics",68,5
"(I Wanna) Love My Life Away","Gene Pitney",341,8
"(I Wanna) Testify","The Parliaments",740,13
"(I was) Born To Cry","Dion",302,7
