,Artists,Name
0,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde
1,Paul Davis,'65 Love Affair
2,Tragedy Capone Infinite,'98 Thug Paradise
3,Big Sister,'Round We Go
4,The Angels,'Til
5,Tammy Wynette,'til I Can Make It On My Own
6,Jonathan Cain,'til It's Time To Say Goodbye
7,Luther Vandross,'Til My Baby Comes Home
8,Keith Urban,'Til Summer Comes Around
9,Cody Johnson,'Til You Can't
10,After 7,'Til You Do Me Right
11,Taylor Swift,'Tis The Damn Season
12,Bill Black's Combo,-twistin'-White Silver Sands
13,Young And Restless,"B" Girls
14,Neil Diamond,"Cherry Cherry" from Hot August Night
15,The Ovations (Featuring Louis Williams),"Having A Party" Medley
16,Isaac Hayes,"Joy" Pt. I
17,Quincy Jones,"Roots" Medley
18,Duane Eddy His Twangy Guitar And The Rebels,"Yep!"
19,Nelly,#1
20,Goody Goody,#1 Dee Jay
21,John Lennon,#9 Dream
22,Mariah Carey Featuring Miguel,#Beautiful
23,The Chainsmokers,#SELFIE
24,will.i.am Featuring Justin Bieber,#thatPOWER
25,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money
26,The Everly Brothers,('til) I Kissed You
27,Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days
28,Lale Anderson,(A Ship Will Come) Ein Schiff Wird Kommen
29,The Nitty Gritty Dirt Band,(All I Have To Do Is) Dream
30,Paul Anka,(All of a Sudden) My Heart Sings
31,Mel Carter,(All Of A Sudden) My Heart Sings
32,Starz,(Any Way That You Want It) I'll Be There
33,Shanice Wilson,(Baby Tell Me) Can You Dance
34,The Olympics,(Baby) Hully Gully
35,The Impressions,(Baby) Turn On To Me
36,'Til Tuesday,(Believed You Were) Lucky
37,Cutting Crew,(Between A) Rock And A Hard Place
38,Maxine Nightingale,(Bringing Out) The Girl In Me
39,Bobby Moore,(Call Me Your) Anything Man
40,Touch,(Call Me) When The Spirit Moves You
41,Nelson,(Can't Live Without Your) Love And Affection
42,Jermaine Jackson,(Closest Thing To) Perfect
43,The Miracles,(Come 'round Here) I'm The One You Need
44,Alex Brown,(Come On) Shout
45,Chubby Checker,(Dance The) Mess Around
46,Duane Eddy and the Rebelettes,(Dance With The) Guitar Man
47,The Dovells,(Do The New) Continental
48,Nat Kendrick And The Swans,(Do The) Mashed Potatoes (Part 1)
49,Rufus Thomas,(Do The) Push And Pull Part I
50,Reel Tight,(Do You) Wanna Ride
51,Webb Pierce,(Doin' The) Lovers Leap
52,Blue Oyster Cult,(Don't Fear) The Reaper
53,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go
54,The Dixiebelles,(Down At) Papa Joe's
55,LTD,(Every Time I Turn Around) Back In Love Again
56,Dr. John,(everybody Wanna Get Rich) Rite Away
57,Bryan Adams,(Everything I Do) I Do It For You
58,The Chi-lites,(For God's Sake) Give More Power To The People
59,Orchestral Manoeuvres In The Dark,(Forever) Live And Die
60,Outlaws,(Ghost) Riders In The Sky
61,Ramrods,(Ghost) Riders In The Sky
62,Eddie Hodges,(Girls Girls Girls) Made To Love
63,'N Sync,(God Must Have Spent) A Little More Time On You
64,Connie Francis,(He's My) Dreamboat
65,Jay & The Americans,(He's) Raining In My Sunshine
66,The Fleetwoods,(He's) The Great Impostor
67,Jan & Dean,(Here They Come) From All Over The World
68,B.J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song
69,Nelly,(Hot S**t) Country Grammar
70,The Boys In The Band,(How Bout A Little Hand For) The Boys In The Band
71,Jim Reeves,(How Can I Write On Paper) What I Feel In My Heart
72,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P
73,ABC,(How To Be A) Millionaire
74,Ashford & Simpson,(I'd Know You) Anywhere
75,Tab Hunter,(I'll Be With You In) Apple Blossom Time
76,Jr. Walker & The All Stars,(I'm A) Road Runner
77,Rick Cunha,(I'm A) YoYo Man
78,Ron Banks And The Dramatics,(I'm Going By) The Stars In Your Eyes
79,Gene Chandler,(I'm Just A) Fool For You
80,The Monkees,(I'm Not Your) Steppin' Stone
81,Charley Pride,(I'm So) Afraid Of Losing You Again
82,Little Peggy March,(I'm Watching) Every Little Move You Make
83,Chicago,(i've Been) Searchin' So Long
84,Bobby Rydell,(I've Got) Bonnie
85,Little Willie John,(I've Got) Spring Fever
