numID,songArtist,songName,lyrics
,Artists,Name,NA
0,Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde,NA
1,Paul Davis,'65 Love Affair,NA
2,Tragedy Capone Infinite,'98 Thug Paradise,NA
3,Big Sister,'Round We Go,NA
4,The Angels,'Til,NA
5,Tammy Wynette,'til I Can Make It On My Own,NA
6,Jonathan Cain,'til It's Time To Say Goodbye,NA
7,Luther Vandross,'Til My Baby Comes Home,NA
8,Keith Urban,'Til Summer Comes Around,NA
9,Cody Johnson,'Til You Can't,NA
10,After 7,'Til You Do Me Right,NA
11,Taylor Swift,'Tis The Damn Season,NA
12,Bill Black's Combo,-twistin'-White Silver Sands,NA
13,Young And Restless,B Girls,NA
14,Neil Diamond,Cherry Cherry from Hot August Night,NA
15,The Ovations (Featuring Louis Williams),Having A Party Medley,NA
16,Isaac Hayes,Joy Pt. I,NA
17,Quincy Jones,Roots Medley,NA
18,Duane Eddy His Twangy Guitar And The Rebels,Yep!,NA
19,Nelly,#1,NA
20,Goody Goody,#1 Dee Jay,NA
21,John Lennon,#9 Dream,NA
22,Mariah Carey Featuring Miguel,#Beautiful,NA
23,The Chainsmokers,#SELFIE,NA
24,will.i.am Featuring Justin Bieber,#thatPOWER,NA
25,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,NA
26,The Everly Brothers,('til) I Kissed You,NA
27,Inez & Charlie Foxx,(1-2-3-4-5-6-7) Count The Days,NA
28,Lale Anderson,(A Ship Will Come) Ein Schiff Wird Kommen,NA
29,The Nitty Gritty Dirt Band,(All I Have To Do Is) Dream,NA
30,Paul Anka,(All of a Sudden) My Heart Sings,NA
31,Mel Carter,(All Of A Sudden) My Heart Sings,NA
32,Starz,(Any Way That You Want It) I'll Be There,NA
33,Shanice Wilson,(Baby Tell Me) Can You Dance,NA
34,The Olympics,(Baby) Hully Gully,NA
35,The Impressions,(Baby) Turn On To Me,NA
36,'Til Tuesday,(Believed You Were) Lucky,NA
37,Cutting Crew,(Between A) Rock And A Hard Place,NA
38,Maxine Nightingale,(Bringing Out) The Girl In Me,NA
39,Bobby Moore,(Call Me Your) Anything Man,NA
40,Touch,(Call Me) When The Spirit Moves You,NA
41,Nelson,(Can't Live Without Your) Love And Affection,NA
42,Jermaine Jackson,(Closest Thing To) Perfect,NA
43,The Miracles,(Come 'round Here) I'm The One You Need,NA
44,Alex Brown,(Come On) Shout,NA
45,Chubby Checker,(Dance The) Mess Around,NA
46,Duane Eddy and the Rebelettes,(Dance With The) Guitar Man,NA
47,The Dovells,(Do The New) Continental,NA
48,Nat Kendrick And The Swans,(Do The) Mashed Potatoes (Part 1),NA
49,Rufus Thomas,(Do The) Push And Pull Part I,NA
50,Reel Tight,(Do You) Wanna Ride,NA
51,Webb Pierce,(Doin' The) Lovers Leap,NA
52,Blue Oyster Cult,(Don't Fear) The Reaper,NA
53,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,NA
54,The Dixiebelles,(Down At) Papa Joe's,NA
55,LTD,(Every Time I Turn Around) Back In Love Again,NA
56,Dr. John,(everybody Wanna Get Rich) Rite Away,NA
57,Bryan Adams,(Everything I Do) I Do It For You,NA
58,The Chi-lites,(For God's Sake) Give More Power To The People,NA
59,Orchestral Manoeuvres In The Dark,(Forever) Live And Die,NA
60,Outlaws,(Ghost) Riders In The Sky,NA
61,Ramrods,(Ghost) Riders In The Sky,NA
62,Eddie Hodges,(Girls Girls Girls) Made To Love,NA
63,'N Sync,(God Must Have Spent) A Little More Time On You,NA
64,Connie Francis,(He's My) Dreamboat,NA
65,Jay & The Americans,(He's) Raining In My Sunshine,NA
66,The Fleetwoods,(He's) The Great Impostor,NA
67,Jan & Dean,(Here They Come) From All Over The World,NA
68,B.J. Thomas,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,NA
69,Nelly,(Hot S**t) Country Grammar,NA
70,The Boys In The Band,(How Bout A Little Hand For) The Boys In The Band,NA
71,Jim Reeves,(How Can I Write On Paper) What I Feel In My Heart,NA
72,Cheech & Chong,(How I Spent My Summer Vacation) Or A Day At The Beach With Pedro & Man - P,NA
73,ABC,(How To Be A) Millionaire,NA
74,Ashford & Simpson,(I'd Know You) Anywhere,NA
75,Tab Hunter,(I'll Be With You In) Apple Blossom Time,NA
76,Jr. Walker & The All Stars,(I'm A) Road Runner,NA
77,Rick Cunha,(I'm A) YoYo Man,NA
78,Ron Banks And The Dramatics,(I'm Going By) The Stars In Your Eyes,NA
79,Gene Chandler,(I'm Just A) Fool For You,NA
80,The Monkees,(I'm Not Your) Steppin' Stone,NA
81,Charley Pride,(I'm So) Afraid Of Losing You Again,NA
82,Little Peggy March,(I'm Watching) Every Little Move You Make,NA
83,Chicago,(i've Been) Searchin' So Long,NA
84,Bobby Rydell,(I've Got) Bonnie,NA
85,Little Willie John,(I've Got) Spring Fever,NA
86,Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life,NA
87,Glee Cast,(I've Had) The Time Of My Life,NA
88,Paul Anka/Odia Coates,(I Believe) There's Nothing Stronger Than Our Love,NA
89,The Rolling Stones,(I Can't Get No) Satisfaction,NA
90,Skeeter Davis,(I Can't Help You) I'm Falling Too,NA
91,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,NA
92,Barbara Mason,(I Can Feel Your Love) Slipping Away,NA
93,Harry Connick Jr.,(I Could Only) Whisper Your Name,NA
94,Barbara Lynn,(I Cried at) Laura's Wedding,NA
95,Bobby Freeman,(I Do The) Shimmy Shimmy,NA
96,Steve Lawrence,(I Don't Care) Only Love Me,NA
97,Sutherland Brothers And Quiver,(I Don't Want To Love You But) You Got Me Anyway,NA
98,Three Days Grace,(I Hate) Everything About You,NA
99,Cutting Crew,(I Just) Died In Your Arms,NA
100,Shaquille O'Neal,(I Know I Got) Skillz,NA
101,Rare Earth,(I Know) I'm Losing You,NA
